name,url,category,language
Intelligence Online,https://feeds.feedburner.com/IntelligenceOnline-fr,news,fr
Africa Intelligence,https://feeds.feedburner.com/AfricaIntelligence-fr,news,fr
La Lettre,https://feeds.feedburner.com/LaLettre-fr,news,fr
Glitz,https://feeds.feedburner.com/glitz-fr,news,fr
CTI-MS Teams Bot,https://github.com/JMousqueton/CTI-MSTEAMS-Bot/releases.atom,tools,en
Graham Cluley,https://grahamcluley.com/feed/,security,en
Threatpost,https://threatpost.com/feed/,security,en
Krebs on Security,https://krebsonsecurity.com/feed/,security,en
Dark Reading,https://www.darkreading.com/rss.xml,security,en
DaVinci Forensics,https://davinciforensics.co.za/cybersecurity/feed/,security,en
Cisco Security,https://blogs.cisco.com/security/feed,security,en
Infosecurity Magazine,https://www.infosecurity-magazine.com/rss/news/,security,en
Google TAG,https://blog.google/threat-analysis-group/rss/,security,en
Trend Micro,http://feeds.trendmicro.com/TrendMicroResearch,security,en
Bleeping Computer,https://www.bleepingcomputer.com/feed/,security,en
Proof Point,https://www.proofpoint.com/us/rss.xml,security,en
The Hacker News,http://feeds.feedburner.com/TheHackersNews?format=xml,security,en
Schneier on Security,https://www.schneier.com/feed/atom/,security,en
Binary Defense,https://www.binarydefense.com/feed/,security,en
Securelist,https://securelist.com/feed/,security,en
Checkpoint Research,https://research.checkpoint.com/feed/,security,en
VirusBulletin,https://www.virusbulletin.com/rss,security,en
Modexp,https://modexp.wordpress.com/feed/,security,en
James Forshaw,https://www.tiraniddo.dev/feeds/posts/default,security,en
Adam Chester,https://blog.xpnsec.com/rss.xml,security,en
Microsoft Security,https://msrc-blog.microsoft.com/feed/,security,en
Recorded Future,https://www.recordedfuture.com/feed,security,en
SentinelOne,https://www.sentinelone.com/feed/,security,en
RedCanary,https://redcanary.com/feed/,security,en
Cyber-News,https://cyber-news.fr/feed/atom?,security,fr
Leak-Lookup,https://leak-lookup.com/rss,security,en
AT&T Cybersecurity,https://cybersecurity.att.com/site/blog-all-rss,security,en
US-CERT CISA,https://www.cisa.gov/uscert/ncas/alerts.xml,security,en
NCSC UK,https://www.ncsc.gov.uk/api/1/services/v1/report-rss-feed.xml,security,en
Center of Internet Security,https://www.cisecurity.org/feed/advisories,security,en
FR-CERT Alertes,https://cert.ssi.gouv.fr/alerte/feed/,security,fr
FR-CERT Avis,https://cert.ssi.gouv.fr/avis/feed/,security,fr
EU-ENISA,https://www.enisa.europa.eu/publications/RSS,security,en
Microsoft Sentinel,https://techcommunity.microsoft.com/plugins/custom/microsoft/o365/custom-blog-rss?tid=8149516204242144484&board=MicrosoftSentinelBlog&size=25,security,en
NCC Group,https://research.nccgroup.com/category/threat-intelligence/feed/,security,en
SANS ISC,https://isc.sans.edu/rssfeed.xml,security,en
Unit42,https://unit42.paloaltonetworks.com/feed/,security,en
MSRC Security Update,https://api.msrc.microsoft.com/update-guide/rss,security,en
SecurityWeek,https://www.securityweek.com/feed/,security,en
PortSwigger,https://portswigger.net/daily-swig/rss,security,en
CSO Online,https://www.csoonline.com/news/feed/,security,en
Google Security Blog,https://security.googleblog.com/feeds/posts/default,security,en
Cloudflare Blog,https://blog.cloudflare.com/rss/,security,en
GitGuardian,https://blog.gitguardian.com/rss.xml,security,en
Mandiant,https://www.mandiant.com/resources/blog/rss.xml,security,en
Mozilla Security,https://blog.mozilla.org/security/feed/,security,en
F5 Labs,https://www.f5.com/labs/articles/feed,security,en
CERT-EU Threat Intel,https://cert.europa.eu/publications/threat-intelligence-rss,security,en
CERT-EU Advisories,https://cert.europa.eu/publications/security-advisories-rss,security,en
JPCERT,https://www.jpcert.or.jp/english/rss/jpcert-en.rdf,security,en
Canadian Cyber Security,https://cyber.gc.ca/webservice/en/rss/alerts,security,en
Bellingcat,https://www.bellingcat.com/feed/,osint,en
Shadowserver,https://blog.shadowserver.org/feed/,osint,en
CIRCL,https://www.circl.lu/rss/,osint,en
TechCrunch,https://techcrunch.com/feed/,tech,en
The Verge,https://www.theverge.com/rss/index.xml,tech,en
Wired,https://www.wired.com/feed/rss,tech,en
Ars Technica,https://feeds.arstechnica.com/arstechnica/index,tech,en
Engadget,https://www.engadget.com/rss.xml,tech,en
ZDNet,https://www.zdnet.com/news/rss.xml,tech,en
Mashable,https://feeds.mashable.com/Mashable,tech,en
Presse-Citron,https://www.presse-citron.net/feed/,tech,fr
Korben,https://korben.info/feed,tech,fr
Journal du Geek,https://www.journaldugeek.com/feed/,tech,fr
FrenchWeb,https://www.frenchweb.fr/feed,tech,fr
Usine Digitale,https://www.usine-digitale.fr/rss,tech,fr
Frandroid,https://www.frandroid.com/feed,tech,fr
01Net,https://www.01net.com/feed,tech,fr
Maddyness,https://www.maddyness.com/feed/,tech,fr
ZDNet FR,https://www.zdnet.fr/feed/,tech,fr
Le Monde Economie,https://www.lemonde.fr/economie/rss_full.xml,business,fr
La Tribune,https://www.latribune.fr/rss,business,fr
BFM Business,https://www.bfmtv.com/rss/entreprises/,business,fr
Les Echos,https://www.lesechos.fr/rss,business,fr
Capital,https://www.capital.fr/rss.xml,business,fr
L'Opinion,https://www.lopinion.fr/rss.xml,business,fr
Reuters Business,https://www.reutersagency.com/feed/?taxonomy=markets&post_type=reuters-best,business,en
BBC Business,http://feeds.bbci.co.uk/news/business/rss.xml,business,en
WSJ Markets,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,business,en
Foreign Policy,https://www.foreignpolicy.com/feed/,geopolitics,en
Crisis Group,https://www.crisisgroup.org/rss,geopolitics,en
RFI,https://www.rfi.fr/en/rss,geopolitics,en
